Timestamp, LinkStatus, FirmwareVersion, Profile, Upstream, Downstream, SNR1, SNR2
1594476177, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594476187, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 13, 17
1594476197, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594476207, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594476217, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 10, 17
1594476228, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594476238, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594476248, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594476258, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594476268, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594476278, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594476288, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594476298, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594476309, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594476319, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 13, 17
1594476329, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594476339, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594476349, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 14, 17
1594476359, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594476369, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594476379, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594476390, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594476400, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 11, 17
1594476410, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594476420, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594476430, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594476440, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594476450, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 14, 17
1594476461, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594476471, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 14, 17
1594476481, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594476491, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594476501, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594476511, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594476521, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594476531, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594476542, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 12, 17
1594476552, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 8, 17
1594476562, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594476572, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 13, 17
1594476582, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 14, 17
1594476592, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594476602, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594476613, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594476623, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594476633, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594476643, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594476653, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594476663, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594476673, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 12, 17
1594476683, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594476694, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 14, 17
1594476704, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594476714, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594476724, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594476734, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 14, 17
1594476744, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594476754, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594476764, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 13, 17
1594476775, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594476785, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 14, 17
1594476795, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594476805, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594476815, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594476825, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 12, 17
1594476835, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 13, 17
1594476846, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
